Linux 3.19.0-39-lowlatency (flashstack-3) 	09/08/2016 	_x86_64_	(56 CPU)

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473377724     0      6643   22.00   12.00    0.00   34.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00 259851.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 
 1473377724     0      6648   33.00    1.00    0.00   34.00     8      8.00      0.00 3169952   3668   0.00     136      32      0.00  17144.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473377725     0      6638   21.00   12.00    0.00   33.00     8      1.00      0.00 3169952   3668   0.00     136      32      0.00 257695.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 3 -n 14 
 1473377725     0      6643   21.00   13.00    0.00   34.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00 259694.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 
 1473377725     0      6648   32.00    1.00    0.00   33.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00  17180.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473377726     0      6638   21.00   12.00    0.00   33.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00 261665.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 3 -n 14 
 1473377726     0      6643   20.00   12.00    0.00   32.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00 260341.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 
 1473377726     0      6648   32.00    1.00    0.00   33.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00  17218.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 
